Region_ID,date,cases,PRECTOTCORR,T2M,T2M_MAX,T2M_MIN,RH2M,NDVI,Rain_Lag_1W,Temp_Lag_1W,Humid_Lag_1W,Rain_Lag_2W,Temp_Lag_2W,Humid_Lag_2W,Rain_Lag_3W,Temp_Lag_3W,Humid_Lag_3W,Rain_Lag_4W,Temp_Lag_4W,Humid_Lag_4W,Rain_Lag_6W,Temp_Lag_6W,Humid_Lag_6W,Rain_Lag_8W,Temp_Lag_8W,Humid_Lag_8W,Rain_Lag_12W,Temp_Lag_12W,Humid_Lag_12W,Cases_Lag_1,Cases_Lag_2,Cases_Lag_3,Cases_Lag_4,Cases_Lag_8,Cases_Lag_12,Mean_Temp_4W,Mean_Rain_4W,Std_Rain_4W,Max_Rain_4W,Cases_Roll_4W_Mean,Cases_Roll_4W_Std,Cases_Roll_4W_Max,Mean_Temp_8W,Mean_Rain_8W,Std_Rain_8W,Max_Rain_8W,Cases_Roll_8W_Mean,Cases_Roll_8W_Std,Cases_Roll_8W_Max,Mean_Temp_12W,Mean_Rain_12W,Std_Rain_12W,Max_Rain_12W,Cases_Roll_12W_Mean,Cases_Roll_12W_Std,Cases_Roll_12W_Max,Cases_Diff_1,Cases_Diff_4,Cases_Pct_1,Cases_Pct_4,Cases_vs_4W_Avg,Cases_vs_8W_Avg,Rain_x_Humidity,Temp_x_Rain,Rain_x_NDVI,Rain4_x_Humid4,Month,Week_of_Year,Year,Sin_Month,Cos_Month,Sin_Week,Cos_Week,Temp_Range,Cases_Target
CAR,2019-01-27,171.0,0.49,20.9,27.19,15.13,79.07571428571428,2.6135e-05,3.15,20.85,80.67142857142858,0.99,20.91142857142857,81.3,23.92,21.66,83.7042857142857,19.41,21.891428571428573,84.42714285714285,3.18,22.207142857142856,83.24857142857142,0.65,22.29142857142857,82.47571428571429,125.45,22.82,87.79142857142857,173.0,126.0,0.0,151.0,107.0,206.0,21.080357142857142,7.1375,11.247717916684342,23.92,117.5,81.28345465099271,173.0,21.61660714285714,8.25125,9.13687573595648,23.92,132.125,56.56459644891477,173.0,21.885,6.849166666666666,8.173404162650447,23.92,133.91666666666666,51.00705536462234,198.0,-2.0,20.0,-0.011560693641618491,0.13245033112582782,1.4430379746835442,1.2845070422535212,0.38747099999999995,0.10241,1.280615e-05,16.387308428571426,1,4,2019,0.49999999999999994,0.8660254037844387,0.4647231720437685,0.8854560256532099,12.06,187.0
CAR,2019-02-03,148.0,12.84,19.36285714285714,26.94,12.0,79.14142857142858,2.38e-05,0.49,20.9,79.07571428571428,3.15,20.85,80.67142857142858,0.99,20.91142857142857,81.3,23.92,21.66,83.7042857142857,12.35,21.962857142857143,83.11,2.52,22.55,82.69142857142857,0.6699999999999999,21.91857142857143,83.05571428571429,171.0,173.0,126.0,0.0,134.0,146.0,20.506071428571428,4.3675,5.7650693837948275,12.84,154.5,22.128413107736733,173.0,21.218214285714286,9.54125,8.938472924068739,23.92,133.875,56.84675515303034,173.0,21.672023809523807,7.863333333333333,8.091608822311208,23.92,134.08333333333334,51.05337373471925,198.0,-23.0,148.0,-0.13450292397660824,10.0,0.9517684887459807,1.097312326227989,10.161759428571429,2.486190857142857,0.000305592,20.02206514285714,2,5,2019,0.8660254037844386,0.5000000000000001,0.5680647467311558,0.8229838658936564,14.940000000000001,200.0
CAR,2019-02-10,187.0,0.32,21.591428571428573,28.09,16.01,79.90142857142857,2.617333333333333e-05,12.84,19.36285714285714,79.14142857142858,0.49,20.9,79.07571428571428,3.15,20.85,80.67142857142858,0.99,20.91142857142857,81.3,19.41,21.891428571428573,84.42714285714285,3.18,22.207142857142856,83.24857142857142,2.07,22.868571428571432,82.44571428571429,148.0,171.0,173.0,126.0,133.0,198.0,20.67607142857143,4.2,5.9039704154606945,12.84,169.75,16.15291511358414,187.0,21.14125,9.18375,9.279913696490397,23.92,140.625,59.854436522521716,187.0,21.565595238095238,7.7175,8.220260032381653,23.92,133.16666666666666,49.88684164884485,187.0,39.0,61.0,0.2635135135135136,0.4841269841269842,1.0951683748169838,1.3203883495145632,0.2556845714285714,0.06909257142857143,8.375466666666666e-06,0.80487,2,6,2019,0.8660254037844386,0.5000000000000001,0.6631226582407952,0.7485107481711011,12.079999999999998,159.0
CAR,2019-02-17,200.0,1.1,21.28857142857143,28.14,13.73,76.10000000000001,2.854666666666667e-05,0.32,21.591428571428573,79.90142857142857,12.84,19.36285714285714,79.14142857142858,0.49,20.9,79.07571428571428,3.15,20.85,80.67142857142858,23.92,21.66,83.7042857142857,12.35,21.962857142857143,83.11,12.79,22.608571428571427,85.62571428571428,187.0,148.0,171.0,173.0,169.0,99.0,20.785714285714285,3.6874999999999996,6.110850322715743,12.84,176.5,22.397916569776193,200.0,21.056964285714287,7.777500000000001,9.579137673687189,23.92,144.5,62.880839689050035,200.0,21.45559523809524,6.743333333333333,8.257076671043219,23.92,141.58333333333334,52.07068331226327,200.0,13.0,27.0,0.06951871657754016,0.1560693641618498,1.1267605633802817,1.3745704467353952,0.8371000000000002,0.23417428571428578,3.140133333333334e-05,2.54115,2,7,2019,0.8660254037844386,0.5000000000000001,0.7485107481711011,0.6631226582407953,14.41,119.0
CAR,2019-02-24,159.0,0.5800000000000001,21.571428571428573,28.92,14.22,75.63285714285713,3.092e-05,1.1,21.28857142857143,76.10000000000001,0.32,21.591428571428573,79.90142857142857,12.84,19.36285714285714,79.14142857142858,0.49,20.9,79.07571428571428,0.99,20.91142857142857,81.3,19.41,21.891428571428573,84.42714285714285,0.65,22.29142857142857,82.47571428571429,200.0,187.0,148.0,171.0,151.0,107.0,20.95357142857143,3.71,6.095298734814816,12.84,173.5,24.117766618546067,200.0,21.016964285714288,5.42375,8.573105684141174,23.92,145.5,63.062327445608545,200.0,21.39559523809524,6.737500000000001,8.26179611222469,23.92,145.91666666666666,51.08541569733625,200.0,-41.0,-12.0,-0.20499999999999996,-0.07017543859649122,0.9111747851002865,1.0853242320819112,0.4386705714285714,0.12511428571428573,1.7933600000000004e-05,0.38747099999999995,2,8,2019,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559,14.700000000000001,65.0
CAR,2019-03-03,119.0,0.24,21.8,29.44,14.43,76.07857142857142,2.9055e-05,0.5800000000000001,21.571428571428573,75.63285714285713,1.1,21.28857142857143,76.10000000000001,0.32,21.591428571428573,79.90142857142857,12.84,19.36285714285714,79.14142857142858,3.15,20.85,80.67142857142858,23.92,21.66,83.7042857142857,2.52,22.55,82.69142857142857,159.0,200.0,187.0,148.0,0.0,134.0,21.562857142857144,0.56,0.38815804337270615,1.1,166.25,35.84573428828952,200.0,21.034464285714286,2.46375,4.29541595358488,12.84,160.375,28.28395557303032,200.0,21.333095238095236,6.547499999999999,8.392783832228519,23.92,144.66666666666666,51.584587785206246,200.0,-40.0,-29.0,-0.2515723270440252,-0.19594594594594594,0.7115097159940209,0.737412858249419,0.18258857142857143,0.052320000000000005,6.9731999999999996e-06,10.161759428571429,3,9,2019,1.0,6.123233995736766e-17,0.8854560256532099,0.4647231720437686,15.010000000000002,89.0
CAR,2019-03-10,65.0,0.39,22.88714285714286,30.45,15.02,76.77142857142857,2.719e-05,0.24,21.8,76.07857142857142,0.5800000000000001,21.571428571428573,75.63285714285713,1.1,21.28857142857143,76.10000000000001,0.32,21.591428571428573,79.90142857142857,0.49,20.9,79.07571428571428,0.99,20.91142857142857,81.3,3.18,22.207142857142856,83.24857142857142,119.0,159.0,200.0,187.0,126.0,133.0,21.886785714285715,0.5775,0.3750888783140985,1.1,135.75,57.604253315184884,200.0,21.28142857142857,2.38875,4.329923910584847,12.84,152.75,43.1765478670342,200.0,21.3897619047619,6.315,8.532041746475885,23.92,139.0,56.48491351277266,200.0,-54.0,-122.0,-0.45378151260504207,-0.6524064171122994,0.4753199268738574,0.42276422764227645,0.29940857142857147,0.08925985714285715,1.06041e-05,0.2556845714285714,3,10,2019,1.0,6.123233995736766e-17,0.9350162426854148,0.35460488704253557,15.43,65.0
CAR,2019-03-17,89.0,8.879999999999999,22.617142857142856,30.17,15.8,79.8157142857143,2.509e-05,0.39,22.88714285714286,76.77142857142857,0.24,21.8,76.07857142857142,0.5800000000000001,21.571428571428573,75.63285714285713,1.1,21.28857142857143,76.10000000000001,12.84,19.36285714285714,79.14142857142858,3.15,20.85,80.67142857142858,12.35,21.962857142857143,83.11,65.0,119.0,159.0,200.0,173.0,169.0,22.21892857142857,2.5225,4.240616110893364,8.879999999999999,108.0,40.54626986542644,159.0,21.502321428571427,3.1049999999999995,4.909035401324196,12.84,142.25,47.54171100953663,200.0,21.444285714285716,6.025833333333334,8.366098752304097,23.92,132.33333333333334,57.33685683323689,200.0,24.0,-111.0,0.36923076923076925,-0.5549999999999999,0.8165137614678899,0.6212914485165794,7.087635428571429,2.0084022857142854,0.00022279919999999997,0.8371000000000002,3,11,2019,1.0,6.123233995736766e-17,0.970941817426052,0.23931566428755804,14.370000000000001,60.0
CAR,2019-03-24,65.0,2.11,24.15571428571429,31.78,17.23,73.32714285714285,2.299e-05,8.879999999999999,22.617142857142856,79.8157142857143,0.39,22.88714285714286,76.77142857142857,0.24,21.8,76.07857142857142,0.5800000000000001,21.571428571428573,75.63285714285713,0.32,21.591428571428573,79.90142857142857,0.49,20.9,79.07571428571428,19.41,21.891428571428573,84.42714285714285,89.0,65.0,119.0,159.0,171.0,151.0,22.865000000000002,2.905,4.072677252124011,8.879999999999999,84.5,25.632011235952362,119.0,21.909285714285716,3.3075,4.818330327290019,12.84,129.0,52.858301145610135,200.0,21.63297619047619,4.5841666666666665,7.268641811772633,23.92,125.16666666666667,60.09966469931134,200.0,-24.0,-94.0,-0.2696629213483146,-0.5911949685534591,0.7602339181286549,0.5,1.547202714285714,0.5096855714285715,4.850889999999999e-05,0.4386705714285714,3,12,2019,1.0,6.123233995736766e-17,0.992708874098054,0.120536680255323,14.55,39.0
CAR,2019-03-31,60.0,3.62,24.504285714285714,32.68,16.92,70.53714285714285,2.3185e-05,2.11,24.15571428571429,73.32714285714285,8.879999999999999,22.617142857142856,79.8157142857143,0.39,22.88714285714286,76.77142857142857,0.24,21.8,76.07857142857142,1.1,21.28857142857143,76.10000000000001,12.84,19.36285714285714,79.14142857142858,23.92,21.66,83.7042857142857,65.0,89.0,65.0,119.0,148.0,0.0,23.54107142857143,3.75,3.6657423077236486,8.879999999999999,69.75,13.047988350699436,89.0,22.551964285714284,2.155,2.95483139475917,8.879999999999999,118.0,57.30868794769013,200.0,21.87,2.8925,3.9758249572735562,12.84,130.16666666666666,50.46300775335438,200.0,-5.0,-59.0,-0.07692307692307687,-0.4957983193277311,0.8480565371024735,0.5042016806722689,2.5534445714285714,0.8870551428571428,8.39297e-05,0.18258857142857143,3,13,2019,1.0,6.123233995736766e-17,1.0,-1.6081226496766366e-16,15.759999999999998,53.0
CAR,2019-04-07,39.0,37.63,24.28142857142857,31.26,20.01,78.63142857142857,2.3380000000000003e-05,3.62,24.504285714285714,70.53714285714285,2.11,24.15571428571429,73.32714285714285,8.879999999999999,22.617142857142856,79.8157142857143,0.39,22.88714285714286,76.77142857142857,0.5800000000000001,21.571428571428573,75.63285714285713,0.32,21.591428571428573,79.90142857142857,0.99,20.91142857142857,81.3,60.0,65.0,89.0,65.0,187.0,126.0,23.889642857142857,13.06,16.63503732086693,37.63,63.25,20.532494571613103,89.0,22.888214285714287,6.81875,12.773975147598083,37.63,99.5,55.71868114529846,200.0,22.150833333333335,5.945833333333333,10.724141379770417,37.63,122.91666666666667,56.94887393464594,200.0,-21.0,-26.0,-0.35,-0.4,0.6070038910505836,0.3880597014925373,29.589006571428573,9.137101571428571,0.0008797894000000002,0.29940857142857147,4,14,2019,0.8660254037844387,-0.4999999999999998,0.992708874098054,-0.12053668025532288,11.25,34.0
CAR,2019-04-14,53.0,37.06,25.388571428571428,33.26,19.26,76.62,2.8626666666666668e-05,37.63,24.28142857142857,78.63142857142857,3.62,24.504285714285714,70.53714285714285,2.11,24.15571428571429,73.32714285714285,8.879999999999999,22.617142857142856,79.8157142857143,0.24,21.8,76.07857142857142,1.1,21.28857142857143,76.10000000000001,3.15,20.85,80.67142857142858,39.0,60.0,65.0,89.0,200.0,173.0,24.582500000000003,20.105,19.917939150423404,37.63,54.25,11.295279249904427,65.0,23.400714285714287,11.31375,16.311301899078476,37.63,81.125,39.808245735920565,159.0,22.529047619047617,8.771666666666668,13.913792916861482,37.63,112.91666666666667,57.88304561524836,200.0,14.0,-36.0,0.35897435897435903,-0.4044943820224719,0.9592760180995475,0.6453576864535768,28.395372000000002,9.409004571428571,0.0010609042666666667,7.087635428571429,4,15,2019,0.8660254037844387,-0.4999999999999998,0.9709418174260521,-0.2393156642875575,13.999999999999996,37.0
CAR,2019-04-21,34.0,16.23,24.96,31.43,20.76,78.67571428571429,3.387333333333333e-05,37.06,25.388571428571428,76.62,37.63,24.28142857142857,78.63142857142857,3.62,24.504285714285714,70.53714285714285,2.11,24.15571428571429,73.32714285714285,0.39,22.88714285714286,76.77142857142857,0.5800000000000001,21.571428571428573,75.63285714285713,0.49,20.9,79.07571428571428,53.0,39.0,60.0,65.0,159.0,171.0,24.783571428571427,23.635,16.648572511378752,37.63,46.5,12.069244660153958,60.0,23.824285714285715,13.270000000000001,15.7695493186809,37.63,65.5,27.505843534991577,119.0,22.867380952380955,10.083333333333334,13.803573538189816,37.63,101.5,58.887411835868846,200.0,-19.0,-31.0,-0.3584905660377359,-0.4769230769230769,0.7157894736842105,0.5112781954887218,12.76906842857143,4.051008,0.0005497642,1.547202714285714,4,16,2019,0.8660254037844387,-0.4999999999999998,0.9350162426854148,-0.35460488704253545,10.669999999999998,35.0
CAR,2019-04-28,37.0,1.59,26.5,34.51,19.88,69.87857142857143,3.912e-05,16.23,24.96,78.67571428571429,37.06,25.388571428571428,76.62,37.63,24.28142857142857,78.63142857142857,3.62,24.504285714285714,70.53714285714285,8.879999999999999,22.617142857142856,79.8157142857143,0.24,21.8,76.07857142857142,12.84,19.36285714285714,79.14142857142858,34.0,53.0,39.0,60.0,119.0,148.0,25.2825,23.127500000000005,17.472611663208877,37.63,40.75,8.421203397772482,53.0,24.411785714285713,13.438750000000002,15.616678298263432,37.63,55.25,18.537606564572098,89.0,23.462142857142855,9.145833333333334,13.980231795666965,37.63,92.25,59.63239662526303,200.0,3.0,-23.0,0.08823529411764697,-0.3833333333333333,0.8862275449101796,0.6577777777777778,1.1110692857142859,0.42135000000000006,6.22008e-05,2.5534445714285714,4,17,2019,0.8660254037844387,-0.4999999999999998,0.8854560256532099,-0.4647231720437685,14.629999999999999,56.0
CAR,2019-05-05,35.0,64.38,25.36142857142857,32.69,20.54,77.13285714285715,3.5205e-05,1.59,26.5,69.87857142857143,16.23,24.96,78.67571428571429,37.06,25.388571428571428,76.62,37.63,24.28142857142857,78.63142857142857,2.11,24.15571428571429,73.32714285714285,0.39,22.88714285714286,76.77142857142857,0.32,21.591428571428573,79.90142857142857,37.0,34.0,53.0,39.0,65.0,187.0,25.552500000000002,29.815,27.254553747951363,64.38,39.75,8.920949127381093,53.0,24.721071428571427,21.4375,22.740981100836283,64.38,51.5,19.302109433205427,89.0,23.776309523809527,14.484166666666667,20.84762879838194,64.38,79.58333333333333,53.505239052456915,200.0,-2.0,-4.0,-0.05405405405405406,-0.10256410256410253,0.8588957055214724,0.6666666666666666,49.658133428571425,16.327687714285712,0.0022664979,29.589006571428573,5,18,2019,0.49999999999999994,-0.8660254037844387,0.8229838658936565,-0.5680647467311557,12.149999999999999,46.0
CAR,2019-05-12,56.0,93.34,23.935714285714287,28.74,20.74,85.69000000000001,3.129e-05,64.38,25.36142857142857,77.13285714285715,1.59,26.5,69.87857142857143,16.23,24.96,78.67571428571429,37.06,25.388571428571428,76.62,3.62,24.504285714285714,70.53714285714285,8.879999999999999,22.617142857142856,79.8157142857143,1.1,21.28857142857143,76.10000000000001,35.0,37.0,34.0,53.0,89.0,200.0,25.189285714285717,43.885000000000005,42.50297283720246,93.34,40.5,10.408329997330094,56.0,24.885892857142856,31.995000000000005,33.25369539078141,93.34,47.375,12.454918707081527,65.0,23.996904761904762,22.170833333333334,30.317933924069045,93.34,67.58333333333333,37.92206921217892,159.0,21.0,3.0,0.6000000000000001,0.05660377358490565,1.3493975903614457,1.1576227390180878,79.98304600000002,22.341595714285717,0.0029206086,28.395372000000002,5,19,2019,0.49999999999999994,-0.8660254037844387,0.7485107481711013,-0.663122658240795,8.0,50.0
